LocationID,LocationAbbr,Stratification1,Year,yhat,yhat_lower,yhat_upper
29023,MO,Ages 65+ years,2030,1390.4056132471821,1321.35032198483,1466.9186240783797
29025,MO,Ages 65+ years,2030,1104.9775721444016,1051.8633709145577,1162.583007546868
29027,MO,Ages 65+ years,2030,1464.8669580540775,1419.8438254632908,1513.245641431728
29029,MO,Ages 65+ years,2030,945.9820535126166,790.9793578732784,1090.6528902963387
29031,MO,Ages 65+ years,2030,1812.33275354072,1726.8508968713445,1897.1172732519524
29033,MO,Ages 65+ years,2030,1494.0524475674308,1333.6941832944844,1667.603528703092
29035,MO,Ages 65+ years,2030,1527.2110562852681,1429.4940224903353,1632.2483328640171
29037,MO,Ages 65+ years,2030,1294.3753445590896,1268.0619427249223,1320.0487123054677
29039,MO,Ages 65+ years,2030,1249.5728448920536,1053.425583063372,1449.0179427389644
29041,MO,Ages 65+ years,2030,1287.0783723537975,1258.65708519175,1315.7256049299315
29043,MO,Ages 65+ years,2030,1108.3930147857227,973.6696777488868,1236.0445331354495
29045,MO,Ages 65+ years,2030,1728.1067430720504,1643.5396539540425,1805.8694123025468
29047,MO,Ages 65+ years,2030,1261.3122860201195,1228.1189633083552,1294.293258489951
29049,MO,Ages 65+ years,2030,1697.6515102953902,1468.3851881692428,1938.0281957164098
29051,MO,Ages 65+ years,2030,1275.3545285909727,1260.3722238730709,1292.2256514973944
29053,MO,Ages 65+ years,2030,1499.3088702683651,1435.1277340755823,1573.5376445276527
29055,MO,Ages 65+ years,2030,2003.5235206754794,1955.9471456345868,2053.686411606171
29057,MO,Ages 65+ years,2030,1740.1750546205915,1698.8395873286365,1782.343634542403
29059,MO,Ages 65+ years,2030,1524.4681177771415,1465.638946884675,1581.7977896953596
29061,MO,Ages 65+ years,2030,1603.5217459111632,1563.6541546672938,1640.119762836758
29063,MO,Ages 65+ years,2030,1167.8899387746646,1123.4825367651267,1217.0960119105962
29065,MO,Ages 65+ years,2030,1539.4960602410902,1463.1210641643256,1610.3685014614691
29067,MO,Ages 65+ years,2030,1762.6555924722695,1722.7436576995235,1800.1335454688647
29069,MO,Ages 65+ years,2030,2085.33663173982,1949.8729442375861,2221.4291805854923
29071,MO,Ages 65+ years,2030,1347.5607770717504,1296.9098944626696,1396.6521137751793
29073,MO,Ages 65+ years,2030,1248.5630985328226,1213.09043151497,1282.2037163097257
29075,MO,Ages 65+ years,2030,1191.8542397904412,1153.5751700093133,1226.7056580412223
29077,MO,Ages 65+ years,2030,1456.6374527259445,1418.5795998927572,1490.4675584993402
29079,MO,Ages 65+ years,2030,1184.1153735197834,1138.5067485949219,1230.9896148615858
29081,MO,Ages 65+ years,2030,1562.547941787832,1470.0417627823617,1654.6048449465386
29083,MO,Ages 65+ years,2030,1942.700993538528,1918.6523446995948,1967.0666308673335
29085,MO,Ages 65+ years,2030,1018.1143764683435,966.9091168701153,1066.7156786702324
29087,MO,Ages 65+ years,2030,1234.985336586001,1194.297291768178,1270.18056690412
29089,MO,Ages 65+ years,2030,1613.8256455550902,1252.1686187641963,1964.7720696668
29091,MO,Ages 65+ years,2030,1678.6940298392958,1594.9073332139574,1761.9732379036786
29093,MO,Ages 65+ years,2030,2172.963313180761,2092.47211092539,2250.7193437926708
29095,MO,Ages 65+ years,2030,1200.3834795834666,1160.1672181305103,1242.0689336446012
29097,MO,Ages 65+ years,2030,1609.118878083122,1489.8276674893823,1719.483760307468
29099,MO,Ages 65+ years,2030,1305.331593972902,1106.4520300982865,1494.525034499469
29101,MO,Ages 65+ years,2030,1604.273679359693,1547.902257599197,1663.7657907656605
29103,MO,Ages 65+ years,2030,1564.9739141509224,1522.5541775464783,1608.9407655014584
29105,MO,Ages 65+ years,2030,1871.822313445428,1818.7204062814596,1928.8632592974604
29107,MO,Ages 65+ years,2030,1580.5447692272826,1544.789295244324,1614.6872760987408
29109,MO,Ages 65+ years,2030,1839.2436795756223,1531.884629087619,2140.6530871171176
29111,MO,Ages 65+ years,2030,2072.297480132171,2026.8910930761822,2119.8405284048513
29113,MO,Ages 65+ years,2030,1293.6143559494385,1251.8944815645216,1329.2955039224976
29115,MO,Ages 65+ years,2030,1922.1160062623092,1871.077149717994,1974.5830372253183
29117,MO,Ages 65+ years,2030,988.3231430212934,807.5470656145399,1186.8535818961361
29119,MO,Ages 65+ years,2030,1696.0361608140106,1497.2230507362672,1887.4397936234657
29121,MO,Ages 65+ years,2030,1815.4753202573388,1753.5922546286308,1877.031651077808
29123,MO,Ages 65+ years,2030,1668.429089257481,1568.8342720468518,1777.8429170962322
29125,MO,Ages 65+ years,2030,1289.6532987732594,1204.025336183295,1384.0117192912455
